start station name,trip_count
1 Ave & E 16 St,1641
1 Ave & E 18 St,973
1 Ave & E 30 St,1030
1 Ave & E 44 St,1036
10 Ave & W 28 St,1238
11 Ave & W 27 St,739
11 Ave & W 41 St,834
11 Ave & W 59 St,1197
12 Ave & W 40 St,1090
2 Ave & E 31 St,1835
2 Ave & E 58 St,1772
3 Ave & Schermerhorn St,216
3969.TEMP (Bike The Branches - Central Branch),137
5 Ave & E 29 St,1242
6 Ave & Broome St,972
6 Ave & Canal St,1050
6 Ave & W 33 St,1045
8 Ave & W 31 St N,2667
8 Ave & W 33 St,1865
8 Ave & W 52 St,1329
9 Ave & W 14 St,2106
9 Ave & W 16 St,1433
9 Ave & W 18 St,907
9 Ave & W 22 St,2070
9 Ave & W 45 St,1438
Adelphi St & Myrtle Ave,558
Allen St & Hester St,734
Allen St & Rivington St,1438
Allen St & Stanton St,1118
Ashland Pl & Hanson Pl,781
Atlantic Ave & Fort Greene Pl,589
Atlantic Ave & Furman St,601
Avenue D & E 12 St,135
Avenue D & E 3 St,246
Avenue D & E 8 St,399
Bank St & Hudson St,1320
Bank St & Washington St,1343
Barclay St & Church St,1489
Barrow St & Hudson St,1595
Bayard St & Baxter St,985
Bedford Ave & S 9 St,66
Bialystoker Pl & Delancey St,808
Bond St & Schermerhorn St,610
Broad St & Bridge St,540
Broadway & Battery Pl,1187
Broadway & Berry St,324
Broadway & E 14 St,3119
Broadway & E 22 St,2610
Broadway & W 24 St,2574
Broadway & W 29 St,1253
Broadway & W 32 St,1312
Broadway & W 36 St,658
Broadway & W 37 St,898
Broadway & W 38 St,947
Broadway & W 41 St,1527
Broadway & W 49 St,1172
Broadway & W 51 St,1216
Broadway & W 53 St,1337
Broadway & W 56 St,1661
Broadway & W 58 St,2656
Broadway & W 60 St,908
Bus Slip & State St,1098
Cadman Plaza E & Red Cross Pl,479
Cadman Plaza E & Tillary St,214
Cadman Plaza W & Pierrepont St,682
Cadman Plaza West & Montague St,1397
Canal St & Rutgers St,1115
Carlton Ave & Flushing Ave,298
Carlton Ave & Park Ave,464
Carmine St & 6 Ave,2112
Catherine St & Monroe St,198
Central Park S & 6 Ave,1580
Centre St & Chambers St,1341
Centre St & Worth St,891
Cherry St,656
Christopher St & Greenwich St,2144
Clark St & Henry St,566
Clermont Ave & Lafayette Ave,357
Clermont Ave & Park Ave,133
Cleveland Pl & Spring St,2082
Cliff St & Fulton St,922
Clinton Ave & Flushing Ave,165
Clinton Ave & Myrtle Ave,669
Clinton St & Grand St,1079
Clinton St & Joralemon St,509
Clinton St & Tillary St,407
Columbia Heights & Cranberry St,380
Columbia St & Rivington St,535
Concord St & Bridge St,199
Cumberland St & Lafayette Ave,982
DeKalb Ave & Hudson Ave,1321
DeKalb Ave & S Portland Ave,430
DeKalb Ave & Skillman St,55
DeKalb Ave & Vanderbilt Ave,88
Dean St & 4 Ave,882
Division St & Bowery,526
Duane St & Greenwich St,867
Duffield St & Willoughby St,277
E 10 St & 5 Ave,993
E 10 St & Avenue A,1387
E 11 St & 1 Ave,1361
E 11 St & 2 Ave,1824
E 11 St & Broadway,1140
E 12 St & 3 Ave,1679
E 13 St & Avenue A,1219
E 14 St & Avenue B,901
E 15 St & 3 Ave,190
E 15 St & Irving Pl,1327
E 16 St & 5 Ave,1263
E 17 St & Broadway,3362
E 19 St & 3 Ave,1381
E 2 St & 2 Ave,1039
E 2 St & Avenue B,1151
E 2 St & Avenue C,1608
E 20 St & 2 Ave,1333
E 20 St & FDR Drive,1144
E 20 St & Park Ave,673
E 23 St & 1 Ave,1237
E 24 St & Park Ave S,2307
E 25 St & 1 Ave,615
E 25 St & 2 Ave,1169
E 27 St & 1 Ave,763
E 3 St & 1 Ave,1176
E 30 St & Park Ave S,950
E 31 St & 3 Ave,1622
E 32 St & Park Ave,1409
E 33 St & 2 Ave,907
E 33 St & 5 Ave,844
E 37 St & Lexington Ave,183
E 39 St & 2 Ave,1846
E 39 St & 3 Ave,1143
E 4 St & 2 Ave,1750
E 40 St & 5 Ave,325
E 43 St & Vanderbilt Ave,1829
E 45 St & 3 Ave,845
E 47 St & 1 Ave,663
E 47 St & 2 Ave,1106
E 47 St & Park Ave,1054
E 48 St & 3 Ave,288
E 48 St & Madison Ave,895
E 5 St & Avenue C,744
E 51 St & 1 Ave,833
E 51 St & Lexington Ave,1080
E 52 St & 2 Ave,483
E 53 St & Lexington Ave,1105
E 53 St & Madison Ave,1028
E 55 St & 2 Ave,223
E 55 St & Lexington Ave,222
E 56 St & 3 Ave,985
E 56 St & Madison Ave,178
E 58 St & 3 Ave,1543
E 6 St & Avenue B,800
E 6 St & Avenue D,341
E 60 St & York Ave,475
E 7 St & Avenue A,1458
E 9 St & Avenue C,1385
Elizabeth St & Hester St,579
Emerson Pl & Myrtle Ave,236
FDR Drive & E 35 St,986
Forsyth St & Broome St,960
Forsyth St & Canal St,805
Franklin Ave & Myrtle Ave,97
Franklin St & W Broadway,1730
Front St & Gold St,323
Front St & Maiden Ln,687
Front St & Washington St,764
Fulton St & Broadway,1003
Fulton St & Clermont Ave,240
Fulton St & Grand Ave,421
Fulton St & Rockwell Pl,607
Fulton St & Washington Ave,525
Fulton St & William St,840
Gallatin Pl & Livingston St,161
Grand Army Plaza & Central Park S,600
Grand St & Greene St,185
Grand St & Havemeyer St,362
Great Jones St,1362
Greenwich Ave & 8 Ave,915
Greenwich Ave & Charles St,1012
Greenwich St & North Moore St,1468
Greenwich St & W Houston St,1779
Greenwich St & Warren St,1440
Hancock St & Bedford Ave,128
Hanover Pl & Livingston St,79
Harrison St & Hudson St,635
Henry St & Atlantic Ave,778
Henry St & Grand St,459
Henry St & Poplar St,223
Hicks St & Montague St,990
Howard St & Centre St,1299
Hudson St & Reade St,1014
Jay St & Tech Pl,649
John St & William St,897
Johnson St & Gold St,517
Kent Ave & S 11 St,197
LaGuardia Pl & W 3 St,1118
Lafayette Ave & Classon Ave,277
Lafayette Ave & Fort Greene Pl,511
Lafayette Ave & St James Pl,280
Lafayette St & E 8 St,2731
Lafayette St & Jersey St N,1052
Laight St & Hudson St,376
Lawrence St & Willoughby St,1837
Lefferts Pl & Franklin Ave,261
Leonard St & Church St,770
Lexington Ave & Classon Ave,312
Lexington Ave & E 24 St,1320
Lexington Ave & E 29 St,1305
Liberty St & Broadway,1191
Lispenard St & Broadway,910
Little West St & 1 Pl,562
MLSWKiosk,2
MacDougal St & Prince St,1497
MacDougal St & Washington Sq,960
Macon St & Nostrand Ave,378
Madison St & Clinton St,311
Madison St & Montgomery St,333
Maiden Ln & Pearl St,878
Market St & Cherry St,474
Mercer St & Bleecker St S,1574
Mercer St & Spring St,1284
Metropolitan Ave & Bedford Ave,610
Monroe St & Bedford Ave,196
Monroe St & Classon Ave,135
Mott St & Prince St,1436
Murray St & West St,986
Myrtle Ave & St Edwards St,123
NYCBS Depot - DEL,142
NYCBS Depot - FAR,362
NYCBS Depot - SSP,245
NYCBS Test,109
Nassau St & Navy St,99
Norfolk St & Broome St,764
Old Fulton St,491
Old Slip & Front St,906
Park Ave & St Edwards St,55
Pearl St & Anchorage Pl,612
Pearl St & Hanover Square,1116
Peck Slip & Front St,158
Perry St & Bleecker St,837
Pershing Square North,2435
Pershing Square South,2065
Pike St & E Broadway,530
Pike St & Monroe St,324
Pitt St & Stanton St,263
Railroad Ave & Kay Ave,188
Reade St & Broadway,772
Rivington St & Chrystie St,1000
Rivington St & Ridge St,589
S 3 St & Bedford Ave,310
S 4 St & Wythe Ave,256
S 5 Pl & S 5 St,736
S Portland Ave & Hanson Pl,298
Sands St & Navy St,85
Shevchenko Pl & E 7 St,336
South End Ave & Liberty St,383
South St & Gouverneur Ln,889
South St & Whitehall St,728
Spruce St & Nassau St,735
St James Pl & Oliver St,554
St James Pl & Pearl St,339
St Marks Pl & 1 Ave,1255
St Marks Pl & 2 Ave,1640
Stanton St & Chrystie St,933
Stanton St & Mangin St,332
State St & Smith St,914
Suffolk St & Stanton St,1197
Sullivan St & Washington Sq,1080
University Pl & E 14 St,1764
Vesey Pl & River Terrace,1931
W 11 St & 6 Ave,1148
W 13 St & 5 Ave,541
W 13 St & 6 Ave,1543
W 13 St & 7 Ave,1157
W 14 St & The High Line,1025
W 15 St & 7 Ave,1750
W 16 St & The High Line,1188
W 17 St & 8 Ave,1622
W 18 St & 6 Ave,1456
W 20 St & 11 Ave,3013
W 20 St & 7 Ave,1596
W 20 St & 8 Ave,1400
W 21 St & 6 Ave,1795
W 22 St & 10 Ave,1368
W 22 St & 8 Ave,1498
W 24 St & 7 Ave,1563
W 25 St & 6 Ave,1606
W 26 St & 10 Ave,557
W 26 St & 8 Ave,1046
W 27 St & 7 Ave,1700
W 29 St & 9 Ave,767
W 31 St & 7 Ave,769
W 33 St & 7 Ave,1840
W 34 St & 11 Ave,390
W 37 St & 10 Ave,1071
W 37 St & 5 Ave,1390
W 38 St & 8 Ave,1558
W 39 St & 9 Ave,1700
W 4 St & 7 Ave S,2034
W 41 St & 8 Ave,2141
W 42 St & 8 Ave,927
W 43 St & 10 Ave,1481
W 43 St & 6 Ave,412
W 44 St & 5 Ave,820
W 45 St & 6 Ave (1),1057
W 45 St & 8 Ave,290
W 46 St & 11 Ave,782
W 47 St & 10 Ave,1240
W 49 St & 8 Ave,1878
W 51 St & 6 Ave,1129
W 52 St & 11 Ave,1120
W 52 St & 5 Ave,1123
W 52 St & 9 Ave,1078
W 53 St & 10 Ave,790
W 54 St & 9 Ave,937
W 56 St & 10 Ave,926
W 56 St & 6 Ave,1490
W 59 St & 10 Ave,1369
W Broadway & Spring St,1408
Warren St & Church St,920
Washington Ave & Greene Ave,241
Washington Ave & Park Ave,320
Washington Park,436
Washington Pl & 6 Ave,1109
Washington Pl & Broadway,1170
Washington Square E,1261
Washington St & Gansevoort St,1147
Water - Whitehall Plaza,719
Watts St & Greenwich St,1101
West St & Chambers St,1929
West Thames St,2280
William St & Pine St,874
Willoughby Ave & Hall St,439
Willoughby Ave & Walworth St,258
Willoughby St & Fleet St,309
Wythe Ave & Metropolitan Ave,578
York St & Jay St,919
